order,type,status,title,authors,date,year,journal,publisher,volume,issue,pages,doi,prepublication_doi,official_url,pillar,keywords,summary,slug
1,Journal article,Published,Modeling the Influence of Ionic Strength on Mineral Solubility in Concentrated Brine Solutions,Hussain Al-Sairfi; M. A. Salman; Y. Al-Foudari; M. Ahmed,2026-01-04,2026,Processes,MDPI,14,1,172,10.3390/pr14010172,,https://doi.org/10.3390/pr14010172,"Brine chemistry, scaling control and mineral recovery",ionic strength; mineral solubility; concentrated brine; calcium sulfate; magnesium hydroxide; scaling control; mineral recovery; Kuwait desalination; brine valorization,"This study measures how ionic strength changes the solubility of calcium sulfate and magnesium hydroxide in concentrated brines collected from Kuwait desalination facilities. It identifies non-ideal behavior that can be used to time precipitation, limit scaling and improve mineral-recovery process design.",ionic-strength-mineral-solubility-kuwait-brines
2,Journal article,Published,Mineral Extraction from Mixed Brine Solutions,M. A. Salman; M. Ahmed; Hussain Al-Sairfi; Y. Al-Foudari,2025-10-01,2025,Separations,MDPI,12,10,266,10.3390/separations12100266,,https://doi.org/10.3390/separations12100266,"Brine chemistry, scaling control and mineral recovery",mixed brine; sulfate minerals; barite; celestite; calcium sulfate; saturation index; induction time; scaling control; brine valorization; resource recovery,"This paper evaluates sulfate-mineral recovery when high-salinity brines are mixed with seawater. A practical model predicts saturation index, precipitation yield and induction time for barite, celestite and calcium-sulfate phases under different mixing and operating conditions.",mineral-extraction-from-mixed-brine-solutions
3,Book chapter,Published online first,Membrane Materials for Desalination,Hussain Al-Sairfi; Maha Atallah; Fajer Alelaj; Yousuf Alhendal; Mansour Ahmed,2026-02-03,2026,Desalination Frontiers – Innovations and Progress in Water Purification Technologies [Online First],IntechOpen,,,,10.5772/intechopen.1014282,,https://doi.org/10.5772/intechopen.1014282,Desalination membranes and advanced materials,desalination membranes; thin-film composites; polyamide; graphene oxide; metal-organic frameworks; aquaporins; chlorine resistance; membrane durability; membrane sustainability,"This open-access chapter reviews the evolution of desalination membrane materials, from cellulose acetate and polyamide thin-film composites to graphene oxide, aquaporin-based membranes and metal-organic frameworks. It compares performance, durability, chlorine resistance, fouling behavior, scalability and sustainability.",membrane-materials-for-desalination
4,Journal article,Published,Membrane distillation of saline feeds and produced water: A comparative study of an air-gap and vacuum-driven modules,Hussain Al-Sairfi; M. Z. A. Koshuriyan; Mansour Ahmed,2024-03-13,2024,Desalination and Water Treatment,Elsevier,317,,100145,10.1016/j.dwt.2024.100145,,https://doi.org/10.1016/j.dwt.2024.100145,Membrane distillation for seawater and produced water,air-gap membrane distillation; vacuum membrane distillation; Arabian Gulf seawater; oilfield-produced water; hypersaline water; permeate flux; salt rejection; desalination,"This comparative experimental study evaluates air-gap membrane distillation and vacuum membrane distillation for saline feeds, Arabian Gulf seawater and oilfield-produced water. It examines temperature, concentration, recirculation flow, air-gap depth and vacuum-space depth as determinants of permeate flux and salt rejection.",agmd-vmd-saline-feeds-produced-water-comparative-study
5,Journal article,Published,Performance feasibility study of direct contact membrane distillation systems in the treatment of seawater and oilfield-produced brine: the effect of hot- and cold-channel depth,Hussain Al-Sairfi; M. Z. A. Koshuriyan; Mansour Ahmed,2023-11,2023,Desalination and Water Treatment,Desalination Publications,313,,26–36,10.5004/dwt.2023.29942,,https://doi.org/10.5004/dwt.2023.29942,Membrane distillation for seawater and produced water,direct contact membrane distillation; DCMD; Arabian Gulf seawater; oilfield-produced brine; channel depth; polypropylene membrane; PVDF membrane; permeate flux; salt rejection,"This laboratory study assesses direct-contact membrane distillation for Arabian Gulf seawater and oilfield-produced brine using polypropylene and PVDF membranes. It evaluates channel depth, temperature, flow rate and feed concentration in relation to permeate flux and salt rejection.",dcmd-seawater-oilfield-produced-brine-channel-depth
6,Journal article,Forthcoming – December 2026 issue,Hydrodynamic Enhancement of Direct Contact Membrane Distillation Using a Corrugated Feed Channel: A Numerical Study,Fajer M. Alelaj; Mansour Ahmed; Hussain Al-Sairfi; Garudachari Bhadrachari; Shimaa Zahran; Mohamed R. Elmarghany,2026-12,2026,Nature Environment and Pollution Technology,Technoscience Publications,25,4,D1922,,10.46488/NEPT.2026.v25i04.D1922,https://editorial.neptjournal.com/index.php/1/article/view/2436,Membrane-module hydrodynamics and CFD,direct contact membrane distillation; corrugated feed channel; computational fluid dynamics; temperature polarization; permeate flux; pressure drop; rib geometry; membrane-module design,"This numerical study models a direct-contact membrane-distillation channel fitted with rectangular corrugations. It evaluates how rib height, breadth and pitch alter hydrodynamic mixing, temperature polarization, pressure drop and permeate flux, identifying a practical trade-off between mass-transfer enhancement and hydraulic loss.",hydrodynamic-enhancement-dcmd-corrugated-feed-channel
7,Journal article,Published online,Adaptive Fuzzy Energy Management of Wind-Battery Systems With Flexible Desalination Load,Mustafa Fadel; Fajer M. Alelaj; Hussain Al-Sairfi; Mansour Ahmed,2026-05-26,2026,Energy Science & Engineering,Wiley,,,1–17 (online version),10.1002/ese3.70570,,https://doi.org/10.1002/ese3.70570,AI-enabled renewable energy and water-energy systems,adaptive fuzzy control; energy management system; wind energy; battery degradation; reverse osmosis desalination; flexible load; state of charge; water-energy system; AI control,"This study develops an adaptive fuzzy energy-management system for a wind-turbine and battery system supplying a flexible reverse-osmosis desalination load. The controller coordinates wind power, battery state of charge and water production while explicitly reducing battery cycling and degradation.",adaptive-fuzzy-wind-battery-desalination-flexible-load
8,Journal article,Published,Quantifying the Economic Loss and Operational Implications of Air Pollution on Grid-Connected PV Systems in the Arabian Peninsula: A Machine Learning-Based Analysis,Mohammed A. Bou-Rabee; Fajer M. Alelaj; Hussain Al-Sairfi,2025-12-30,2026,IEEE Access,IEEE,14,,4180–4188,10.1109/ACCESS.2025.3649764,,https://doi.org/10.1109/ACCESS.2025.3649764,AI-enabled renewable energy and water-energy systems,photovoltaic systems; air pollution; soiling losses; machine learning; Random Forest; economic loss; predictive cleaning; operation and maintenance; Arabian Peninsula; GCC solar energy,This IEEE Access study uses a validated Random Forest model and counterfactual clean-air scenarios to estimate energy and financial losses caused by air pollution and module soiling in grid-connected photovoltaic systems across the Arabian Peninsula. It also proposes a predictive cleaning schedule for operation and maintenance planning.,air-pollution-economic-loss-pv-arabian-peninsula-machine-learning
9,Journal article,Published,Thermocapillary Droplet Flow in Small-scale Containers: the Effect of Gravity,Mohammad K. Alhamli; Yousuf Alhendal; Hussain Al-Sairfi,2026-06-12,2026,Microgravity Science and Technology,Springer Nature,38,,Article 42,10.1007/s12217-026-10253-4,,https://doi.org/10.1007/s12217-026-10253-4,"Thermofluids, CFD and microgravity",thermocapillary flow; Marangoni effect; droplet migration; microgravity; buoyancy; Volume of Fluid; ANSYS Fluent; two-phase flow; surface tension gradient; confined container,"This numerical investigation tracks an FC-75 droplet suspended in silicone oil inside differentially heated cylindrical containers. Volume-of-Fluid simulations compare zero gravity, normal gravity and combined thermocapillary–buoyancy forcing and derive a practical criterion for the droplet size at which the two forces nearly balance.",thermocapillary-droplet-flow-small-scale-containers-gravity
10,Journal article,Published,Achieving single solid solution in equimolar AlCrCuFeNi via rapid solidification,Ahmed Nassar; Hussain Al-Sairfi; Robert Cochrane; Mehmet Remzi Abul; Liam Teggin; Osama Al-Jenabi; Enrique Myro; Andrew Mullis,2026-02-20,2026,Materials Today Communications,Elsevier,51,,114897,10.1016/j.mtcomm.2026.114897,,https://doi.org/10.1016/j.mtcomm.2026.114897,Advanced materials and rapid solidification,high-entropy alloy; AlCrCuFeNi; rapid solidification; drop tube; B2 phase; spinodal decomposition; solidification microstructure; microhardness; cooling rate,"This study uses a 6.5-m drop-tube facility to investigate the effect of cooling rate on equimolar AlCrCuFeNi high-entropy alloy. Rapid solidification suppresses phase complexity, produces a single B2 structure above approximately 10² K/s and increases microhardness as cooling rate rises.",alcrcu-feni-high-entropy-alloy-rapid-solidification
